,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Kmt2a,0.96882313,0.96889937,0.97143453,0.4490713,0.4490713,0.93610746,0.6774221,0.65988714,0.8257429,0.6375706,0.5381146,0.74433005,0.54125816,0.51967645,0.6508594,0.52974516,0.471799,0.6379114,0.5349419,0.4979373,0.596698,0.63575983,0.5615205,0.6554826,0.80868524,0.6874163,0.81148595,0.63388854,0.6342918,0.6013361,0.6821562,0.6823552,0.5485205
Foxn2,0.73711437,0.7373136,0.739418,0.44184783,0.44184783,0.81302524,0.79184407,0.7976992,0.7734077,0.7513204,0.7149631,0.7903476,0.8302719,0.8144068,0.9108418,0.7825314,0.759307,0.82588357,0.75295657,0.69092166,0.85648507,0.64330584,0.59285545,0.6567087,0.40471897,0.5097908,0.40229237,0.37854305,0.37531823,0.5755613,0.3581888,0.35795912,0.44189757
Cd200,0.0024012935,0.0024039585,0.002383474,0.0010551136,0.0010551136,0.0,0.010736227,0.010571656,0.010452797,0.008023116,0.0032844858,0.013109722,0.0052709123,0.004826787,0.0075263707,0.0070891655,0.0061085704,0.00891961,0.009321525,0.0054281414,0.015819093,0.021774141,0.016255597,0.023240222,0.019365896,0.0,0.019813145,0.0029998196,0.0029719837,0.0045633675,6.517092e-05,6.530755e-05,0.0
Rbl2,0.51563966,0.5159196,0.5172052,0.3106969,0.3106969,0.40051836,0.38683057,0.3864294,0.41023216,0.501057,0.48415187,0.5192036,0.442971,0.43479335,0.48450062,0.45441714,0.46068996,0.44270787,0.47125423,0.4522966,0.5028921,0.45617956,0.45551348,0.45635653,0.65964425,0.63477075,0.66021866,0.6425648,0.6427885,0.62586987,0.71852773,0.7187226,0.5438251
Zbtb17,0.093205884,0.09307963,0.093076035,0.17347544,0.17347544,0.07493906,0.1973448,0.1915345,0.21944365,0.19620667,0.16992311,0.22442035,0.2030402,0.1982433,0.2274009,0.22930601,0.19917087,0.28555828,0.21873043,0.19564317,0.25726017,0.3067538,0.244464,0.323302,0.13722023,0.23795268,0.13489385,0.15455675,0.15262252,0.26903096,0.07793661,0.07780659,0.0933034
Il4ra,0.25427687,0.25420883,0.2515538,0.7660934,0.7660934,0.44004554,0.098287985,0.0999677,0.12341914,0.091395676,0.074271664,0.109777175,0.11277464,0.11550946,0.098886035,0.08478778,0.07612906,0.100950725,0.08545417,0.079547316,0.09531198,0.1490549,0.14331923,0.15057868,0.053094383,0.058808964,0.052962407,0.10732199,0.107640736,0.0897514,0.14121288,0.1414119,0.03085117
Itgax,0.005357752,0.0053636986,0.0054299915,0.0011964937,0.0011964937,0.0,0.05296125,0.056111846,0.027828338,0.083822116,0.100195915,0.06624592,0.08275894,0.0869989,0.061226584,0.09450025,0.10826638,0.06880347,0.12542436,0.1514118,0.08205457,0.027198054,0.04209087,0.023241566,0.20253628,0.09533558,0.20501205,0.17437555,0.17483461,0.148988,0.1502288,0.15030801,0.13503535
Maff,0.046700824,0.046752658,0.04676877,0.13736399,0.13736399,0.01890045,0.021268565,0.022265237,0.018673684,0.020330401,0.021184301,0.019413795,0.030150253,0.03143434,0.023629112,0.021658055,0.023790449,0.017677587,0.03893112,0.04434499,0.02989605,0.026402894,0.029044084,0.025701225,0.032558084,0.023434168,0.032768797,0.027106736,0.027359799,0.01003011,0.0068743103,0.0067838607,0.033345915
Polr2b,0.11762081,0.117362544,0.11694171,0.17991088,0.17991088,0.03057199,0.3287371,0.33063698,0.25693285,0.26882046,0.27926725,0.2576065,0.29267702,0.2934751,0.28862417,0.30043885,0.31416833,0.27481052,0.29213494,0.31881073,0.24761643,0.16089594,0.17037746,0.15837705,0.10709437,0.28701687,0.10293912,0.123214565,0.122345135,0.1780822,0.1318954,0.13209893,0.05138297
Sfmbt1,0.3037161,0.3039799,0.3036615,0.38618448,0.38618448,0.11150162,1.084206,1.0831442,0.9295598,0.36452115,0.30823597,0.42493957,0.5234331,0.5509694,0.3835918,0.8828172,0.9159799,0.82091343,0.6766927,0.7752948,0.51213825,0.39338508,0.35878393,0.40257737,0.5480993,0.41919318,0.55107635,0.22769527,0.22708073,0.2653553,0.27662295,0.27658582,0.26146054
Hdac7,0.8771609,0.8773265,0.87977844,0.42341715,0.42341715,0.76706964,0.22729631,0.22734345,0.36564326,0.29707325,0.24476464,0.3532231,0.25459924,0.24148464,0.32120076,0.25365865,0.2515787,0.2575412,0.26162478,0.25049007,0.28020725,0.378577,0.32001323,0.3941353,0.572395,0.27901497,0.5791705,0.29139435,0.2922802,0.23985112,0.23635253,0.23659891,0.28630653
Ncoa3,1.3065372,1.306073,1.3097163,0.7387148,0.7387148,1.0674652,0.47185916,0.47272983,0.6021925,0.6557906,0.5889758,0.72751194,0.5085113,0.49010134,0.602005,0.49945998,0.47740832,0.54062307,0.57936805,0.5656702,0.60222816,0.5939009,0.5715942,0.599827,0.67681426,0.5530111,0.67967343,0.4215181,0.42007816,0.51093405,0.39397645,0.39405748,0.40256444
Abcg2,0.10822051,0.108273335,0.10877213,0.04852889,0.04852889,0.02781217,0.03244954,0.031021314,0.03991009,0.0153849665,0.02010361,0.010319814,0.021401983,0.02257782,0.015430574,0.012571709,0.008259111,0.02062189,0.023042964,0.027934108,0.014880261,0.03331866,0.038334846,0.03198604,0.022605706,0.011817066,0.022854866,0.018102273,0.018053496,0.020166002,0.051606014,0.05162109,0.05267148
Il2rb,0.1271114,0.12713146,0.12564515,0.67340064,0.67340064,0.65786505,0.5145255,0.52304804,0.5058628,0.5547586,0.5446633,0.5655952,0.66942656,0.66941595,0.66948044,0.6249066,0.6157756,0.641951,0.693882,0.6731726,0.72844344,0.4888935,0.51651,0.4815568,0.72432077,0.6639372,0.7257153,0.66867167,0.667865,0.7497198,0.72163,0.7212141,0.90262645
Phf20l1,1.8607169,1.8605707,1.8623176,1.7888091,1.7888091,1.485782,1.4015119,1.4057798,1.4194108,1.9193977,2.0470004,1.7824246,1.6461194,1.6648625,1.550934,1.6176142,1.648504,1.559953,1.6090121,1.6401936,1.556974,1.4858288,1.6173354,1.4508921,1.9020376,2.0348544,1.8989702,2.0617502,2.066922,1.7475556,2.4443753,2.4445128,2.1608155
Med21,0.2964379,0.29631978,0.29669216,0.1959069,0.1959069,0.22369534,0.90569746,0.9162308,0.6923595,0.56599003,0.6373356,0.48940524,0.7057134,0.7145665,0.66075325,0.5812354,0.6193975,0.50999945,0.6692451,0.7403572,0.55056804,0.35343605,0.3322228,0.35907164,0.29355466,0.31731203,0.293006,0.29312953,0.29186922,0.36241508,0.28250885,0.28205472,0.40994152
Foxp1,17.728895,17.729174,17.734072,16.716856,16.716856,14.239039,2.385064,2.4130094,3.8606987,2.6204967,2.8578084,2.3657587,2.485772,2.5204673,2.309574,2.1596823,2.1020234,2.2673123,2.8550234,2.8238168,2.907103,3.4730656,4.690127,3.1497362,2.359265,2.915773,2.3464127,4.695515,4.7140684,3.5591295,4.8120837,4.8138957,4.0969124
Il18r1,1.2224507,1.2224422,1.216379,2.1777675,2.1777675,5.302516,4.005428,3.987793,4.528982,6.6683254,5.570806,7.8464403,5.4633493,5.1490254,7.0596213,4.6560187,4.0373,5.81096,6.0039554,5.1101904,7.4955363,7.1626577,7.70114,7.019603,11.009112,8.730785,11.061729,11.41912,11.427584,10.69317,8.6600275,8.664489,6.635069
Sp4,1.363129,1.3628423,1.3654007,1.0297095,1.0297095,1.4467404,0.51812184,0.52230334,0.6691936,0.7991339,0.74902844,0.85291874,0.74194837,0.7394346,0.75471455,0.5693621,0.5578154,0.59091604,0.5545332,0.5313214,0.5932707,0.5471168,0.6245613,0.5265426,0.99251,0.7121964,0.9989838,0.8336972,0.83612216,0.69219327,0.69792724,0.6978602,0.67864287
Elf2,0.8683416,0.86832154,0.8693342,0.8113572,0.8113572,0.66465497,0.7380536,0.74658245,0.712331,0.5866531,0.5991399,0.57324934,0.6385093,0.64980745,0.58113205,0.69822735,0.7281187,0.64243007,0.62714463,0.6725493,0.55136997,0.50880265,0.5827564,0.4891558,0.639332,0.4598587,0.64347684,0.6501366,0.65166044,0.57935673,0.6853997,0.68546844,0.640861
Gtf3c5,0.015926396,0.015944073,0.015711753,0.06284646,0.06284646,0.0,0.16255826,0.16256471,0.13064072,0.09734832,0.090137325,0.105088845,0.12272813,0.12087034,0.13216281,0.13528477,0.13639736,0.13320793,0.12062815,0.11614794,0.12810504,0.0781487,0.06630866,0.08129417,0.027753407,0.049578227,0.02724937,0.046590075,0.046360992,0.061512444,0.02798467,0.027983392,0.019062994
Ilf3,0.3137064,0.3136606,0.31265447,0.631226,0.631226,0.44992703,0.6974205,0.7000815,0.62670255,0.577443,0.5987636,0.5545567,0.57817113,0.58596116,0.5386103,0.6934532,0.6995933,0.6819917,0.51099545,0.5423509,0.45866716,0.5257187,0.5364118,0.52287793,0.2835888,0.30461738,0.28310314,0.33908898,0.33908877,0.3416633,0.24102886,0.241125,0.18420127
Cd44,0.09102049,0.09098911,0.08924483,0.47088727,0.47088727,1.3330948,1.6602935,1.6376172,1.7525132,1.6582099,1.4764081,1.8533623,1.6577449,1.5893561,2.0050528,1.5468907,1.5057447,1.6236964,1.5048577,1.3614314,1.7442181,2.0856822,2.028934,2.100758,1.584439,1.1579319,1.5942891,1.5428644,1.5436305,1.459004,0.78043455,0.7788043,1.2707148
Meis3,0.013809018,0.013824345,0.013740298,0.004159913,0.004159913,0.0,0.0061951713,0.0061616185,0.005174263,0.006407547,0.006792968,0.005993822,0.0062755854,0.0065882113,0.0046879374,0.0060100616,0.005432095,0.007088932,0.008170115,0.008793907,0.0071290853,0.007195598,0.0070891576,0.0072238753,0.011505953,0.008329212,0.011579319,0.010881327,0.011036254,0.0007275873,0.03769428,0.037773304,0.015792182
Pa2g4,0.112034746,0.11208528,0.111680575,0.095905095,0.095905095,0.13760853,0.23268227,0.23365574,0.21187115,0.08929489,0.082853526,0.096209265,0.13423388,0.13570784,0.12674849,0.16242829,0.17032582,0.14768626,0.13142365,0.1410972,0.115279734,0.09970775,0.087045506,0.10307166,0.102018066,0.093024746,0.102225766,0.070167795,0.06994249,0.08704622,0.0580659,0.058101486,0.056773987
Ifnar1,0.2499502,0.2499377,0.25012574,0.27060708,0.27060708,0.16395728,0.1463025,0.14567997,0.16744442,0.21798772,0.22956881,0.20555617,0.2191961,0.21373315,0.24693927,0.20981547,0.21110427,0.2074097,0.18940857,0.18643919,0.19436409,0.25724825,0.21885596,0.2674477,0.20209733,0.26575735,0.20062712,0.23336993,0.23271395,0.28582972,0.25779003,0.25807136,0.21521774
Rpa3,0.033125214,0.03316198,0.033286437,0.006534412,0.006534412,0.0,0.048980094,0.049424905,0.0399107,0.036545794,0.04105656,0.031703785,0.04010639,0.041279696,0.034147818,0.032475363,0.035092,0.027590973,0.034966826,0.037756294,0.030311553,0.019099336,0.021960478,0.018339233,0.033217743,0.03449689,0.0331882,0.009712909,0.009617724,0.015088145,0.012727347,0.012661524,0.09742889
Cd69,0.05116221,0.05107217,0.05099684,0.18367872,0.18367872,0.06025124,0.09036259,0.094613634,0.053729083,0.108513184,0.13806245,0.07679399,0.10168899,0.10963669,0.061327156,0.09328598,0.10539449,0.07068341,0.10767735,0.1306292,0.0693736,0.09716577,0.12241358,0.090458326,0.066359475,0.057766575,0.06655793,0.13233337,0.13297515,0.085679255,0.050333805,0.050439328,0.0
E2f8,0.00015660802,0.00015678183,0.0,0.0013460881,0.0013460881,0.0,0.21632445,0.21847804,0.15739982,0.09079126,0.08837978,0.09337983,0.10944368,0.113140434,0.09066999,0.20252241,0.20495288,0.19798554,0.057636496,0.071525194,0.034458004,0.016525948,0.02009135,0.0155787505,0.022530515,0.008272148,0.022859808,0.0032095658,0.0029740967,0.017602546,3.309592e-05,3.3165303e-05,0.0
Ahr,0.022376187,0.022340823,0.022132233,0.10413583,0.10413583,0.18029572,0.048558805,0.04635354,0.08116921,0.033247307,0.016433625,0.05129569,0.03174677,0.029534591,0.04298118,0.05121815,0.039221272,0.07361232,0.028783841,0.026261058,0.03299405,0.1176379,0.07468383,0.12904926,0.031439446,0.029843515,0.031476304,0.008747984,0.008568634,0.019378902,0.003762715,0.0037706033,0.0
Kcnip3,0.007771836,0.007780462,0.007876625,0.0043586665,0.0043586665,0.13385364,0.0060523055,0.0067416606,0.032625675,0.0010979391,0.0020513101,7.455811e-05,0.0004190214,0.0005015314,0.0,0.0032427954,0.0037246624,0.0023433103,0.0012369412,0.001805047,0.00028884408,0.014428043,0.0047529545,0.016998367,0.0009876877,0.0065563275,0.0008590817,0.0068531395,0.0069581238,0.0,0.012783242,0.012810041,0.0
Brca1,0.044888988,0.044885084,0.04365947,0.027775593,0.027775593,0.0,1.5020839,1.5030453,1.1922342,0.7467116,0.70532113,0.79114157,0.8793589,0.8927974,0.8111122,1.5371181,1.5150385,1.5783331,0.5918269,0.6594241,0.47901565,0.3070077,0.36590302,0.29136133,0.26411512,0.19013451,0.2658237,0.043709986,0.042069938,0.14283343,0.022000778,0.021880398,0.09678065
Nr1d2,0.14239526,0.14215462,0.14097676,0.35096377,0.35096377,0.29293105,0.116179705,0.118794955,0.12154597,0.106284834,0.120288044,0.09125331,0.12640437,0.12799089,0.11834733,0.12512709,0.11599086,0.14218138,0.11046566,0.11132033,0.10903932,0.11150671,0.15904877,0.09887649,0.11476507,0.13786994,0.114231475,0.23992956,0.24062999,0.19317816,0.21294972,0.21279973,0.2369814
Nfatc1,0.6831149,0.68298775,0.68331814,0.7268786,0.7268786,0.8043472,0.7707165,0.769634,0.8226681,0.8001251,0.77099544,0.83139396,0.6780508,0.68715525,0.6318147,0.7566498,0.74746877,0.77378774,0.82343435,0.8062651,0.8520876,1.1309917,1.0569829,1.1506532,1.1070793,0.9369532,1.1110083,0.8266849,0.8251445,0.9328968,0.6995765,0.6994664,0.67255527
Bcl11b,4.21209,4.2117968,4.2220674,1.8955005,1.8955005,3.790688,2.1068008,2.1298573,2.1558127,2.1388345,2.2838595,1.9831594,2.1493294,2.2196107,1.7924112,2.042619,2.2444992,1.6657754,2.1981404,2.3674788,1.9155358,1.9863083,2.2283363,1.9220102,2.4184813,2.0084507,2.4279509,2.148935,2.153417,1.943867,2.737676,2.738793,2.610913
Cd226,3.7242372,3.725444,3.7336571,1.5483859,1.5483859,2.6412878,0.635198,0.5853717,1.2870628,1.1624811,0.76355106,1.590706,0.7011292,0.57053095,1.3643637,0.79709953,0.5605086,1.2387359,1.0458972,0.67502093,1.664843,1.8264447,1.776622,1.8396808,1.9405305,1.6325002,1.9476445,1.6957202,1.6995983,1.478439,1.3180841,1.3191875,0.8868932
Klra1,3.2608838e-05,3.264503e-05,3.304851e-05,0.010253975,0.010253975,0.0237203,0.0012831424,0.0011231814,0.002142772,0.0054311804,0.010244711,0.00026417215,0.008909219,0.010612807,0.0002576611,0.0111631,0.015317738,0.0034077757,0.011318749,0.013204286,0.008172025,0.004015129,0.0054011694,0.0036469076,0.0018969891,0.058358986,0.00059301686,0.011324003,0.011466525,0.0019142157,0.001379569,0.001382461,0.0
Uhrf1,0.007839199,0.0078479,0.007625429,0.0063210283,0.0063210283,0.013528203,0.6260333,0.6197974,0.5467973,0.19279231,0.201072,0.18390459,0.33136976,0.34450322,0.26467225,0.6138388,0.61785346,0.60634464,0.27714217,0.32282773,0.2008987,0.09646094,0.12289436,0.08943853,0.08265781,0.041338466,0.08361207,0.019262837,0.018661505,0.058873266,0.0038832552,0.0038214326,0.043333557
Tnfsf11,0.0014786501,0.0014802912,0.0010536643,0.048210133,0.048210133,0.0,0.034345534,0.028039005,0.0715293,0.04577298,0.017592924,0.07602242,0.039541777,0.03373887,0.06901145,0.012461062,0.00977981,0.017466063,0.014402228,0.01081918,0.020381887,0.28609595,0.18086343,0.31405246,0.009198539,0.0,0.009410976,0.0017537064,0.0016724223,0.0066881836,0.003803805,0.0038117794,0.0
Maf,0.008442571,0.008451941,0.00848355,0.003348551,0.003348551,0.02340266,0.011194,0.010441046,0.020016616,0.036886837,0.028870955,0.04549136,0.027682168,0.025918467,0.036639005,0.013564204,0.014161021,0.012450144,0.034295924,0.034872726,0.033333313,0.025944091,0.01320052,0.029329602,0.061159182,0.04896657,0.061440766,0.011297999,0.01132139,0.009256857,0.0037377265,0.0036525659,0.029572902
Arid2,1.1616892,1.1616907,1.1647125,0.69535786,0.69535786,0.4408211,0.7168771,0.7160888,0.7197846,0.60041255,0.53325427,0.6725025,0.56798327,0.5738732,0.53807163,0.6225938,0.64394325,0.5827415,0.49852648,0.51828617,0.46555004,0.6359669,0.7235126,0.61270916,0.68138343,0.59136397,0.6834624,0.7193551,0.72196984,0.5567202,0.6614316,0.66214585,0.4190765
Nr2c1,0.15621838,0.15625285,0.15688467,0.094489254,0.094489254,0.069564186,0.049380083,0.0480409,0.063656114,0.017143449,0.014864141,0.019590134,0.03593479,0.036178533,0.03469695,0.03854685,0.03482082,0.045502096,0.022928998,0.021399746,0.025481127,0.04003671,0.03288555,0.04193652,0.030199254,0.010523818,0.030653652,0.030619465,0.030350888,0.045617238,0.02231558,0.022362364,0.0
Ebf1,0.0010442066,0.0010453656,0.0010582858,4.6491183e-05,4.6491183e-05,0.0,0.018823683,0.017002381,0.02775719,0.02706766,0.03087982,0.022975557,0.01334021,0.012099903,0.019639019,0.010072838,0.006461674,0.016813677,0.016514868,0.016173055,0.017085312,0.06271631,0.019478535,0.074203044,0.022214357,0.017235605,0.02232934,0.009817521,0.009313449,0.045194183,0.008663624,0.008681786,0.0
Klra3,0.0009052369,0.00090624165,0.0009174424,0.0064959335,0.0064959335,0.018779248,0.009482538,0.00908972,0.016546678,0.027781013,0.022201126,0.033770654,0.008688414,0.009515598,0.0044876128,0.014629352,0.01817225,0.008015943,0.025808549,0.03238048,0.014840821,0.0013193737,0.0016194882,0.0012396441,0.09868303,0.07159895,0.09930853,0.025263265,0.02504873,0.0372009,0.091291934,0.091208585,0.08736691
Fhl2,0.014693997,0.014710305,0.014565879,0.011240922,0.011240922,0.0,0.16251901,0.16637166,0.10570823,0.17543809,0.16169949,0.19018556,0.17808641,0.17443895,0.19660982,0.18746689,0.20139028,0.16147654,0.18761402,0.19928645,0.16813423,0.1415166,0.120469615,0.14710803,0.16560487,0.19561897,0.16491172,0.12055395,0.11948959,0.18778326,0.20333341,0.20272161,0.33010963
Zeb1,4.9030347,4.9024205,4.896615,8.026754,8.026754,4.3402653,2.114905,2.1226704,2.5286293,2.4595828,2.2521083,2.682293,2.239226,2.2205024,2.3343124,2.3600008,2.1651258,2.7237673,2.2017617,2.063944,2.4317617,4.0872955,4.1226764,4.077896,1.8888375,2.3447928,1.8783073,2.8246691,2.8268726,2.6287417,1.3593231,1.3592265,1.3756113
Ep300,0.5167057,0.5164493,0.5155398,0.42182115,0.42182115,0.4728376,0.35506478,0.3537701,0.38149506,0.3887977,0.39407766,0.38313004,0.34353882,0.34348354,0.34381947,0.36547586,0.35587353,0.3834002,0.33117893,0.32280877,0.34514767,0.3258499,0.30149063,0.3323213,0.6035045,0.39890036,0.60822976,0.43905687,0.44002375,0.380562,0.5297477,0.53014064,0.46994337
Snapc1,0.07546394,0.07548791,0.075176895,0.07648971,0.07648971,0.06277114,0.15932448,0.16128692,0.12606229,0.16358228,0.17334044,0.15310752,0.14704698,0.15045047,0.12976263,0.15281978,0.1575568,0.14397734,0.14038934,0.14798672,0.12771027,0.13570651,0.13533524,0.13580514,0.09904792,0.08481892,0.09937654,0.12359021,0.1238288,0.10658225,0.10321423,0.103230774,0.08963435
Zbtb1,0.1712494,0.17125131,0.17090996,0.19989192,0.19989192,0.15939143,0.47804496,0.4805843,0.40270358,0.4329093,0.38951108,0.47949442,0.46492442,0.45923796,0.49380288,0.44022942,0.4265961,0.46567824,0.5184488,0.5211008,0.51402307,0.4548495,0.34916246,0.4829268,0.2906441,0.3483644,0.28931108,0.31114364,0.30957878,0.40675107,0.31087017,0.3106149,0.4755889
Thy1,0.093091205,0.093121246,0.093009844,0.09408205,0.09408205,0.058276832,0.1766868,0.18083613,0.12451807,0.18828855,0.2279904,0.14567123,0.19850121,0.20675339,0.15659313,0.19049558,0.220211,0.13502681,0.2085768,0.23789461,0.15964906,0.07928208,0.101520024,0.07337426,0.17026532,0.30061474,0.16725494,0.19570418,0.19662194,0.13696803,0.21100579,0.21100095,0.19145252
Tcf7l2,0.08695285,0.08704935,0.08703873,0.09677088,0.09677088,0.0,0.022993935,0.020913724,0.036271412,0.012201141,0.006056199,0.01879733,0.026972935,0.023957008,0.04228911,0.011006828,0.011207214,0.010632777,0.021733752,0.018955734,0.026369913,0.029199475,0.026441202,0.02993225,0.005363333,0.004001303,0.005394789,0.0051107286,0.005049742,0.00861329,0.0015148568,0.0015180326,0.0
Zbtb38,0.2080006,0.20800567,0.20832916,0.13865979,0.13865979,0.2374061,0.16284631,0.1582182,0.2128329,0.24824402,0.25811684,0.23764618,0.19281803,0.18869129,0.2137754,0.18875769,0.18975835,0.18688981,0.20445451,0.2012443,0.20981194,0.12882444,0.09435836,0.13798085,0.3330583,0.21770023,0.33572245,0.15105553,0.14962398,0.24363738,0.18289612,0.18307714,0.12103129
Cd74,0.10606983,0.10607847,0.10612812,0.096134566,0.096134566,0.0,0.46044916,0.4170745,0.70525706,0.099295676,0.13364013,0.062429182,0.48670664,0.47195086,0.5616428,0.051570956,0.045271527,0.06332989,0.09804841,0.09610112,0.10129819,0.17599243,0.15135409,0.18253794,0.2743813,0.061227266,0.27930403,0.13457787,0.13345844,0.19672297,0.092971526,0.09316643,0.0
Pou2f2,0.24753463,0.24743497,0.24854359,0.07834688,0.07834688,0.151553,0.22765957,0.22207338,0.26512405,0.31670693,0.22804645,0.41187814,0.24250928,0.21893676,0.36222067,0.26262644,0.22940017,0.32464877,0.25977653,0.2279633,0.3128688,0.4551028,0.36375937,0.47936946,0.5130031,0.25391737,0.5189866,0.20964141,0.20823018,0.30701315,0.1858369,0.18574423,0.21328288
Ing3,0.17830993,0.17850783,0.17601514,0.44053024,0.44053024,0.10495941,0.31524166,0.3172589,0.2776619,0.3063733,0.32369632,0.28777817,0.33638933,0.34243062,0.3057091,0.3282786,0.33766776,0.31075218,0.35047847,0.3545558,0.34367397,0.32820985,0.36474392,0.31850407,0.17846945,0.29433203,0.17579365,0.25861266,0.25795698,0.29956368,0.23851402,0.2384861,0.2726287
Il1r2,0.008737429,0.008747127,0.008855238,0.0004114736,0.0004114736,0.0,0.10875163,0.10155173,0.1656055,0.04120324,0.051255144,0.030413182,0.11104974,0.11377654,0.0972019,0.060364768,0.0656072,0.050578907,0.06258137,0.063502744,0.061043717,0.04417774,0.03262794,0.047246106,0.027330954,0.053953666,0.02671611,0.025642354,0.025106438,0.057434954,0.019988777,0.01848877,0.49032828
Myc,0.046404343,0.04645585,0.045785893,0.058784347,0.058784347,0.062295005,0.05819256,0.059070196,0.055270825,0.022334881,0.026376648,0.017996311,0.038864024,0.041300327,0.026491437,0.033259436,0.036935426,0.026397588,0.030404765,0.036942184,0.019494632,0.019720132,0.024954997,0.018329415,0.007362369,0.017671108,0.0071242917,0.0065843784,0.0065472005,0.008536997,0.004272516,0.004281473,0.0
