gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Mpp7,0.002,1.0,0.098,0.211,0.614,0.911,0.766,1.0,0.123,1.0,0.909,0.073,0.357,0.684,0.092,1.0,0.207,0.16,0.023,0.336,0.775,0.096
Taar8a,,,,,,,,,,,,,,,,,,,,,,
Gm5065,,,,,,,,,,1.0,,,,,,,,,,,,
Gm4953,,,,,,,,,,0.929,,,,,,,,,,,,
Ptchd3,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28400,,,,,,,,,,,,,,,,,,,,,,
Gm20452,,,,,,,,,,1.0,,,,,,,,,,,,
Apol7b,0.034,1.0,0.014,0.789,,0.594,0.998,0.975,0.834,1.0,,0.587,,0.892,0.688,,0.016,0.102,0.189,0.083,,0.048
AU022133,0.535,,0.609,,,0.124,,,0.147,1.0,,0.258,,0.845,0.275,,0.851,0.842,0.833,,,0.842
Slc8b1,0.248,0.973,0.958,0.0,0.908,0.004,0.0,0.509,0.0,0.001,0.914,0.059,0.262,0.0,0.034,0.917,0.31,0.033,0.057,0.283,0.418,0.008
Gm48158,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1222,,,,,,,,,,1.0,,,,,,,,,,,,
Gm20948,,,,,,,,,,,,,,,,,,,,,,
Ppm1h,0.0,1.0,0.0,0.0,0.983,0.0,0.0,1.0,0.0,0.0,0.972,0.0,0.313,0.0,0.0,0.895,0.0,0.0,0.0,0.0,0.649,0.0
Gm13038,,,,,,,,,,1.0,,,,,,,,,,,,
Eral1,0.248,1.0,0.571,0.754,0.864,0.378,0.788,1.0,0.396,1.0,0.988,0.642,0.698,0.905,0.499,0.685,0.218,0.083,0.358,0.561,0.466,0.056
Gm14821,,,,,,,,,,,,,,,,,,,,,,
Chkb,0.0,1.0,0.0,0.82,0.928,0.074,0.318,1.0,0.006,0.311,0.932,0.002,0.223,0.314,0.006,0.868,0.0,0.018,0.0,0.0,0.106,0.05
Celf4,0.014,1.0,0.343,0.0,0.903,0.212,0.0,0.112,0.13,0.0,0.788,0.005,,0.0,0.318,1.0,0.901,0.585,0.0,0.0,0.021,0.345
Sh2d2a,0.074,0.863,0.028,0.0,0.853,0.0,0.001,1.0,0.0,0.004,0.977,0.0,0.833,0.0,0.0,0.29,0.574,0.003,0.0,0.001,0.708,0.02
Slc25a45,0.0,1.0,0.0,0.192,0.868,0.305,0.004,0.996,0.01,0.222,0.986,0.196,0.864,0.002,0.004,0.975,0.0,0.061,0.136,0.14,0.328,0.002
Gm47229,,,,,,,,,,1.0,,,,,,,,,,,,
Gm29192,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15197,0.821,1.0,0.974,0.765,0.946,0.574,0.511,0.977,0.665,1.0,0.978,0.774,,0.812,0.971,,1.0,0.876,0.629,0.609,,0.907
Gm36259,,,,,,,,,,1.0,,,,,,,,,,,,
Alad,0.141,1.0,0.0,0.0,0.535,0.0,0.0,1.0,0.0,0.0,0.778,0.0,0.14,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.206,0.0
Elp6,0.0,1.0,0.0,0.259,0.773,0.708,0.174,1.0,0.876,0.268,0.804,0.923,0.173,0.073,0.882,0.989,0.0,0.499,0.808,0.24,0.421,0.959
Eif1ad,0.065,0.857,0.0,0.008,0.941,0.0,0.389,1.0,0.007,0.032,0.957,0.0,0.189,0.064,0.0,0.941,0.0,0.0,0.001,0.0,0.857,0.001
Gm3261,,,,,,,,,,1.0,,,,,,,,,,,,
Rpl18-ps2,0.727,1.0,0.931,0.461,0.997,0.671,0.368,1.0,0.547,1.0,0.921,0.789,,0.255,0.402,0.858,0.701,0.663,0.52,0.799,0.976,0.861
Gm37836,,,,,,,,,,,,,,,,,,,,,,
Gm48676,,,,,,,,,,1.0,,,,,,,,,,,,
Aars,0.0,1.0,0.0,0.0,0.978,0.0,0.0,1.0,0.0,0.0,0.996,0.0,0.957,0.0,0.0,0.989,0.0,0.0,0.0,0.0,0.874,0.0
Rps19-ps11,0.64,,0.728,,,0.222,,,0.765,0.545,,0.358,,0.286,0.337,,0.358,0.631,0.203,,,0.594
Snx6,0.048,1.0,0.73,0.218,0.982,0.0,0.364,1.0,0.0,0.442,0.997,0.0,0.037,0.402,0.0,0.945,0.6,0.0,0.0,0.0,0.961,0.0
Pspn,,,,,,0.899,,,,1.0,,,,,,,,,,,,
Igkv14-134-1,,,,,,,,,,1.0,,,,,,,,,,,,
Milr1,0.138,1.0,0.071,0.027,0.815,0.01,0.284,1.0,0.159,0.002,0.828,0.0,0.883,0.937,0.755,0.918,0.012,0.171,0.05,0.013,0.073,0.96
Gm11524,,,,,,,,,,1.0,,,,,,,,,,,,
Wdr45,0.01,1.0,0.0,0.303,1.0,0.009,0.346,1.0,0.797,0.994,0.622,0.498,0.269,0.099,0.784,0.23,0.0,0.01,0.391,0.013,0.813,0.07
Usf1,0.0,1.0,0.055,0.696,0.931,0.393,0.436,0.916,0.018,1.0,0.681,0.118,0.26,0.65,0.047,0.736,0.081,0.735,0.37,0.958,0.628,0.408
Gm43427,,,,,,,,,,,,,,,,,,,,,,
Gm18397,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8816,,,,,,,,,,,,,,,,,,,,,,
Tmem81,0.936,1.0,0.302,0.781,0.946,0.562,0.997,1.0,0.345,0.659,0.939,0.041,0.451,0.981,0.325,0.975,0.076,0.863,0.526,0.008,0.477,0.242
Samd15,0.0,1.0,0.0,0.091,0.856,0.003,0.009,1.0,0.0,0.005,0.506,0.0,0.392,0.0,0.0,0.641,0.0,0.045,0.0,0.031,0.341,0.0
Nudt16l2,,,,,,,,,,1.0,,,,,,,,,,,,
Il6,0.655,,1.0,0.963,,0.649,,,0.432,1.0,,0.965,,0.741,0.34,,0.936,0.242,0.671,0.386,,0.614
1700019N19Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Kcnma1,,,,,,0.889,,,,1.0,,,,,,,,,,,,
Gm7948,,,,,,,,,,,,,,,,,,,,,,
Gm3373,,,,,,,,,,,,,,,,,,,,,,
Gm21897,0.522,1.0,0.467,0.046,0.974,0.036,0.038,1.0,0.028,0.205,0.732,0.085,0.977,0.022,0.015,0.907,0.215,0.068,0.044,0.758,0.175,0.067
Ankrd34b,,,,,,,,,,1.0,,,,,,,,,,,,
Gm14427,0.808,,0.76,0.506,,0.991,0.372,,0.858,1.0,,0.682,,0.392,0.883,,0.33,0.911,0.91,0.471,,0.631
Thsd1,0.822,,0.396,0.677,,0.282,0.818,,0.385,0.419,,0.05,,0.989,0.548,,0.264,0.142,0.612,0.327,,0.791
Olfr793-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm4340,,,,,,,,,,,,,,,,,,,,,,
Ubn1,0.0,1.0,0.0,0.521,0.886,0.296,0.825,1.0,0.957,1.0,0.931,0.529,0.819,0.793,0.997,0.987,0.0,0.766,0.612,0.221,0.398,0.923
Gm17811,,,,,,,,,,,,,,,,,,,,,,
Erich6b,,,,,,,,,,1.0,,,,,,,,,,,,
Gm14829,,,,,,,,,,1.0,,,,,,,,,,,,
Trim7,0.094,1.0,0.025,0.062,0.989,0.015,0.761,0.907,0.963,0.186,0.997,0.027,,0.56,0.847,0.815,0.125,0.012,0.165,0.026,0.343,0.624
Gm11834,,,,,,,,,,1.0,,,,,,,,,,,,
Gm21774,,,,,,,,,,,,,,,,,,,,,,
Gm16428,,,,,,,,,,1.0,,,,,,,,,,,,
Ighv1-65,,,,,,,,,,,,,,,,,,,,,,
Ppp2r5b,0.012,1.0,0.145,0.55,0.946,0.847,0.107,1.0,0.497,0.149,0.997,0.416,,0.521,0.899,0.775,0.027,0.893,0.825,0.454,0.979,0.509
Phlda1,0.15,1.0,0.016,0.006,0.931,0.0,0.137,1.0,0.013,0.233,0.989,0.012,0.554,0.123,0.011,0.818,0.036,0.002,0.035,0.02,0.778,0.114
Leprotl1,0.0,1.0,0.003,0.148,0.891,0.001,0.357,1.0,0.004,0.559,0.843,0.003,0.157,0.219,0.001,0.891,0.003,0.01,0.012,0.068,0.634,0.011
Krtap5-4,,,,,,,,,,1.0,,,,,,,,,,,,
1700049L16Rik,,,,,,,,,,,,,,,,,,,,,,
Gpr15,0.181,,0.738,0.43,,0.947,,,0.846,1.0,,0.244,,0.183,0.707,,0.879,0.889,0.968,0.606,,0.722
Olfr950-ps1,,,,,,,,,,,,,,,,,,,,,,
Pth1r,0.518,,0.139,0.411,,0.097,,,0.058,0.887,,0.14,,0.793,0.731,,0.209,0.154,0.057,0.133,,0.572
Gm21808,,,,,,,,,,,,,,,,,,,,,,
Rad51,0.0,1.0,0.0,0.0,0.912,0.0,0.0,1.0,0.0,0.0,0.981,0.0,0.417,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.783,0.0
Spin2g,,,,,,,,,,1.0,,,,,,,,,,,,
Gm44656,,,,,,,,,,1.0,,,,,,,,,,,,
Slamf8,0.938,1.0,0.902,0.0,0.993,0.0,0.365,0.967,0.313,0.001,0.98,0.001,,0.3,0.252,0.995,0.875,0.0,0.023,0.001,0.257,0.302
Gm3264,,,,,,,,,,1.0,,,,,,,,,,,,
Rap1gds1,0.001,1.0,0.307,0.018,0.856,0.706,0.484,1.0,0.331,1.0,0.999,0.132,0.119,0.119,0.86,0.677,0.364,0.23,0.131,0.14,0.012,0.386
Gm7927,,,,,,,,,,1.0,,,,,,,,,,,,
2310022A10Rik,0.013,1.0,0.82,0.0,0.777,0.0,0.02,1.0,0.0,0.002,0.695,0.0,0.021,0.004,0.0,0.535,0.242,0.0,0.0,0.0,0.846,0.0
Tmem170b,0.035,1.0,0.004,0.74,0.882,0.883,0.653,1.0,0.273,0.807,0.681,0.842,0.685,0.157,0.03,0.654,0.002,0.4,0.311,0.242,0.881,0.439
Gm8100,0.408,,0.511,,,0.917,,,0.483,0.521,,0.359,,0.315,0.385,,0.374,0.76,0.476,,,0.933
Vmn2r-ps62,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr949-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Ntan1,0.009,1.0,0.717,0.06,0.895,0.0,0.063,1.0,0.0,0.159,0.89,0.0,0.085,0.033,0.0,0.941,0.901,0.001,0.0,0.002,0.112,0.0
Amhr2,,,,,,0.625,,,,1.0,,,,,,,,,,,,
Gm4034,0.912,1.0,0.672,0.606,0.962,0.92,0.493,0.996,0.966,0.362,0.67,0.568,0.598,0.297,0.722,0.358,0.927,0.716,0.411,0.412,0.844,0.165
Akap8l,0.0,1.0,0.0,0.0,0.565,0.0,0.0,0.768,0.0,0.0,0.638,0.0,0.787,0.0,0.0,0.555,0.0,0.0,0.0,0.0,0.514,0.0
Trav6n-6,0.032,1.0,0.232,0.362,0.991,0.888,0.885,1.0,0.343,1.0,0.938,0.775,0.551,0.866,0.613,0.975,0.134,0.937,0.955,0.878,0.821,0.764
Rpl37a,0.0,1.0,0.0,0.0,0.962,0.0,0.0,1.0,0.0,0.0,0.938,0.0,0.808,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.995,0.0
Phactr1,0.503,1.0,0.368,0.464,0.983,0.342,0.5,1.0,0.324,0.94,0.959,0.275,,0.79,0.145,,0.382,0.276,0.345,0.543,0.883,0.305
Bhlha9,,,,,,,,,,1.0,,,,,,,,,,,,
Gm45125,,,,,,,,,,,,,,,,,,,,,,
Gm31848,,,,,,,,,,,,,,,,,,,,,,
Gm8126,,,,,,,,,,0.939,,,,,,,,,,,,
Arl14,,,,,,,,,,1.0,,,,,,,,,,,,
Sacm1l,0.018,1.0,0.02,0.0,0.961,0.0,0.002,1.0,0.002,0.001,0.909,0.0,0.994,0.0,0.0,0.989,0.003,0.001,0.0,0.008,0.435,0.0
Gm9824,,,,,,,,,,1.0,,,,,,,,,,,,
Gm42915,,,,,,,,,,1.0,,,,,,,,,,,,
Ube2g1,0.0,1.0,0.234,0.092,0.915,0.709,0.218,1.0,0.458,0.459,0.909,0.396,0.066,0.071,0.81,0.888,0.657,0.924,0.345,0.894,0.651,0.436
C3,0.028,1.0,0.214,0.0,0.907,0.0,0.0,0.98,0.002,0.0,0.998,0.0,,0.018,0.131,0.905,0.543,0.001,0.052,0.0,0.064,0.336
Gm28581,,,,,,,,,,1.0,,,,,,,,,,,,
Gm7286,,,,,,,,,,0.537,,,,,,,,,,,,
Dzip3,0.0,1.0,0.045,0.002,0.789,0.697,0.013,0.963,0.943,0.0,0.987,0.18,0.032,0.015,0.931,0.678,0.064,0.122,0.325,0.258,0.963,0.328
Foxn2,0.074,1.0,0.001,0.011,0.622,0.0,0.568,1.0,0.059,1.0,0.977,0.181,0.352,0.869,0.166,0.726,0.0,0.036,0.078,0.315,0.738,0.773
Mgat2,0.0,1.0,0.002,0.609,0.952,0.09,0.62,1.0,0.089,1.0,0.991,0.133,0.396,0.235,0.013,0.735,0.024,0.035,0.025,0.18,0.986,0.202
Efcab10,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr544,0.703,,0.985,,,0.327,,,0.618,1.0,,0.323,,0.882,0.757,,0.79,0.764,0.883,,,0.882
Gm14277,,,,,,0.789,,,,1.0,,0.606,,,0.566,,0.914,0.574,,,,
Ifna6,,,,,,,,,,1.0,,,,,,,,,,,,
Gm9049,,,,,,,,,,1.0,,,,,,,,,,,,
Gm16533,,,,,,,,,,1.0,,,,,,,,,,,,
Gm29759,,,,,,,,,,1.0,,,,,,,,,,,,
Mettl26,0.021,1.0,0.792,0.324,0.855,0.467,0.15,1.0,0.77,1.0,0.977,0.18,0.113,0.167,0.732,0.685,0.842,0.981,0.363,0.31,0.026,0.506
Gm29335,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr405-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Btg1-ps2,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11232,,,,,,,,,,1.0,,,,,,,,,,,,
Smim20,0.017,0.865,0.497,0.823,0.848,0.077,0.947,1.0,0.118,1.0,0.892,0.089,0.225,0.92,0.105,0.878,0.601,0.428,0.124,0.431,0.948,0.353
Catsper2,1.0,1.0,0.45,0.292,0.998,0.819,0.158,1.0,0.585,1.0,0.888,0.611,,0.162,0.572,0.552,0.085,0.843,0.937,0.176,0.849,0.429
Slc3a1,0.829,,0.322,0.395,,0.084,,,0.257,1.0,,0.201,,0.547,0.139,,0.483,0.039,0.079,0.402,,0.368
Nedd9,0.0,0.697,0.0,0.0,0.82,0.006,0.06,1.0,0.734,0.001,0.849,0.09,0.217,0.05,0.681,0.793,0.0,0.117,0.517,0.005,0.412,0.202
Ptger4,0.0,1.0,0.0,0.0,0.915,0.0,0.0,1.0,0.0,0.012,0.972,0.019,0.807,0.0,0.0,0.82,0.0,0.0,0.005,0.007,0.086,0.0
Vmn1r186,,,,,,,,,,,,,,,,,,,,,,
Wnt8a,,,,,,,,,,0.657,,,,,,,,,,,,
Folr2,0.933,,0.544,0.626,,0.993,0.935,,0.689,1.0,,0.506,,0.922,0.505,,0.64,0.31,0.522,0.525,,0.745
Gm5340,,,,,,0.896,,,,1.0,,0.814,,,0.914,,0.955,0.614,,,,
Golga5,0.03,1.0,0.051,0.129,0.765,0.181,0.771,0.989,0.883,0.844,0.659,0.591,0.92,0.536,0.631,0.629,0.073,0.006,0.263,0.025,0.905,0.067
Olfr643,,,,,,,,,,1.0,,,,,,,,,,,,
P2rx5,,,,,,,,,,1.0,,,,,,,,,,,,
Ndufa9,0.002,0.959,0.059,0.012,0.777,0.0,0.034,1.0,0.001,0.012,0.94,0.0,0.479,0.084,0.004,0.986,0.612,0.026,0.001,0.001,0.848,0.007
Gm12497,,,,,,,,,,0.722,,,,,,,,,,,,
Hbb-bh1,,,,,,,,,,1.0,,,,,,,,,,,,
Dbt,0.069,1.0,0.793,0.674,0.965,0.373,0.431,1.0,0.627,1.0,0.976,0.125,0.234,0.844,0.256,1.0,0.635,0.236,0.178,0.229,0.985,0.259
Ippk,0.018,1.0,0.011,0.798,0.772,0.713,0.733,1.0,0.789,1.0,0.996,0.964,0.959,0.447,0.349,0.72,0.015,0.102,0.87,0.99,0.986,0.96
Gm13281,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr27,,,,,,,,,,1.0,,,,,,,,,,,,
Mast4,0.688,1.0,0.002,0.003,0.412,0.0,0.35,1.0,0.0,0.041,0.506,0.0,0.048,0.0,0.0,0.345,0.0,0.001,0.008,0.004,0.53,0.0
Zfp316,0.031,1.0,0.94,0.088,0.644,0.0,0.527,1.0,0.001,0.799,0.967,0.001,0.053,0.301,0.0,0.85,0.818,0.011,0.0,0.004,0.996,0.005
Rab11a,0.001,1.0,0.237,0.0,0.97,0.0,0.004,1.0,0.0,0.001,0.967,0.0,0.154,0.0,0.0,0.999,0.718,0.0,0.0,0.0,0.824,0.0
Uqcc3,0.0,1.0,0.153,0.261,0.976,0.235,0.295,1.0,0.219,0.698,0.997,0.143,0.037,0.271,0.237,0.969,0.382,0.168,0.098,0.135,0.96,0.161
Gm11252,,,,,,,,,,,,,,,,,,,,,,
Gm43582,,,,,,0.532,,,,1.0,,0.185,,,0.342,,0.919,0.785,,,,
Gm16420,0.164,1.0,0.024,0.902,0.852,0.412,0.598,0.842,0.948,1.0,0.996,0.357,,0.835,0.339,0.935,0.005,0.084,0.123,0.338,0.892,0.18
4933428M09Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Tank,0.659,1.0,0.448,0.763,0.965,0.29,0.932,0.975,0.188,1.0,0.977,0.103,0.224,0.675,0.372,0.783,0.132,0.467,0.01,0.196,0.75,0.066
Gm29761,0.0,1.0,0.0,0.737,0.936,0.02,0.67,1.0,0.013,0.004,0.14,0.0,0.121,0.142,0.0,0.948,0.0,0.004,0.025,0.029,0.629,0.001
Dtl,0.0,1.0,0.0,0.0,0.734,0.0,0.0,1.0,0.0,0.0,0.836,0.0,0.087,0.0,0.0,0.918,0.0,0.0,0.0,0.0,0.777,0.0
Gm5519,,,,,,,,,,,,,,,,,,,,,,
Gm38078,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8172,0.716,1.0,0.819,0.208,0.943,0.27,0.871,0.574,0.741,0.791,0.997,0.542,,0.536,0.621,,0.737,0.117,0.143,0.535,0.883,0.818
Sugp2,0.765,0.295,0.967,0.853,0.856,0.819,0.258,1.0,0.077,0.058,0.724,0.005,0.731,0.1,0.02,0.84,0.008,0.646,0.044,0.212,0.953,0.15
Uck2,0.0,1.0,0.0,0.009,0.915,0.0,0.1,1.0,0.004,0.003,0.996,0.0,0.422,0.051,0.001,0.902,0.0,0.001,0.002,0.0,0.144,0.009
Olfr632,,,,,,,,,,1.0,,,,,,,,,,,,
Gm14165,0.765,0.073,0.0,0.733,0.001,0.0,0.846,0.023,0.0,0.963,0.001,0.0,0.005,0.705,0.0,0.0,0.412,0.974,0.695,0.985,0.823,0.732
Cadm2,0.209,,0.993,0.054,,0.609,0.627,,0.511,0.265,,0.873,,0.059,0.607,,0.807,0.782,0.612,0.549,,0.783
Scgb2b19,,,,,,,,,,,,,,,,,,,,,,
Gm20545,0.008,0.904,0.117,0.939,0.849,0.343,0.517,1.0,0.911,0.443,0.997,0.771,,0.354,0.922,,0.866,0.917,0.947,0.814,,0.527
Epha7,0.065,1.0,0.168,0.01,,0.032,0.036,1.0,0.091,0.027,,0.041,,0.032,0.081,,0.131,0.051,0.064,0.413,,0.035
Gm11397,,,,,,,,,,0.944,,,,,,,,,,,,
Gm6228,,,,,,,,,,1.0,,,,,,,,,,,,
Luzp2,,,,,,,,,,1.0,,,,,,,,,,,,
Gfm2,0.074,1.0,0.731,0.535,0.95,0.034,0.691,1.0,0.438,1.0,0.826,0.111,0.282,0.797,0.091,0.815,0.94,0.103,0.308,0.663,0.904,0.434
Nipsnap3a,,,,,,,,,,1.0,,,,,,,,,,,,
Ppp1r15a,0.0,1.0,0.0,0.0,0.977,0.0,0.0,1.0,0.0,0.0,0.914,0.0,0.742,0.0,0.0,0.918,0.0,0.0,0.0,0.0,0.928,0.0
Gm14303,,,,,,,,,,,,,,,,,,,,,,
Gm29195,,,,,,,,,,1.0,,,,,,,,,,,,
Sec24d,0.007,1.0,0.243,0.0,0.974,0.0,0.0,1.0,0.003,0.0,0.938,0.002,0.277,0.0,0.008,0.657,0.562,0.001,0.0,0.0,0.927,0.0
Gm13071,,,,,,,,,,1.0,,,,,,,,,,,,
Ppic,0.0,1.0,0.0,0.0,0.523,0.0,0.0,0.452,0.0,0.0,0.843,0.0,0.561,0.0,0.0,0.525,0.003,0.003,0.017,0.005,0.961,0.009
Lrrc63,,,,,,,,,,1.0,,,,,,,,,,,,
Srcap,0.0,1.0,0.627,0.219,0.764,0.008,0.053,1.0,0.061,0.673,0.834,0.002,0.001,0.191,0.011,0.977,0.821,0.233,0.008,0.066,0.68,0.006
Prmt5,0.096,1.0,0.025,0.299,0.837,0.567,0.297,0.966,0.549,0.73,0.675,0.707,0.754,0.586,0.89,1.0,0.001,0.833,0.699,0.317,0.46,0.89
Gm28695,,,,,,,,,,,,,,,,,,,,,,
Btbd35f28,,,,,,,,,,1.0,,,,,,,,,,,,
Ccdc86,0.122,0.993,0.553,0.003,0.782,0.0,0.001,1.0,0.0,0.084,0.909,0.002,0.512,0.006,0.0,0.49,0.059,0.0,0.0,0.0,0.346,0.0
Acsl4,0.0,1.0,0.0,0.0,0.515,0.0,0.0,1.0,0.0,0.0,0.996,0.0,0.989,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.009,0.0
Setmar,0.781,1.0,0.754,0.632,0.904,0.83,0.864,1.0,0.6,1.0,0.838,0.525,0.544,0.828,0.643,0.986,0.404,0.762,0.884,0.816,0.626,0.565
Gm7639,,,,,,,,,,1.0,,,,,,,,,,,,
Hmx3,,,,,,,,,,1.0,,,,,,,,,,,,
Synpo2,0.447,1.0,1.0,0.947,0.825,0.463,0.834,0.876,0.585,1.0,0.932,0.739,,0.784,0.652,,0.747,0.913,0.487,0.897,0.941,0.986
Fpr-rs4,,,,,,,,,,1.0,,,,,,,,,,,,
Wdr60,0.0,1.0,0.0,0.248,0.329,0.662,0.59,1.0,0.953,1.0,0.969,0.727,,0.39,0.842,0.861,0.0,0.088,0.98,0.506,0.897,0.731
Zfp260,0.0,1.0,0.079,0.006,0.526,0.286,0.071,1.0,0.768,0.007,0.958,0.212,0.226,0.01,0.333,0.307,0.078,0.568,0.93,0.458,0.204,0.406
4933401B06Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Cfap299,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr359-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Arhgap17,1.0,1.0,0.006,0.203,0.838,0.221,0.571,0.945,0.05,0.69,0.985,0.101,0.027,0.302,0.15,0.389,0.012,0.772,0.001,0.157,0.228,0.798
Gm9435,,,,,,,,,,0.447,,,,,,,,,,,,
9430038I01Rik,0.179,0.798,0.933,0.001,0.918,0.13,0.004,1.0,0.261,0.0,0.97,0.045,0.188,0.0,0.061,0.954,0.079,0.033,0.459,0.11,0.984,0.132
Vmn1r85,,,,,,,,,,,,,,,,,,,,,,
Smc4,0.209,1.0,0.001,0.087,0.872,0.957,0.696,1.0,0.028,0.032,0.986,0.542,0.17,0.217,0.789,0.952,0.0,0.451,0.141,0.452,0.263,0.588
Cyp4b1,,,,,,,,,,1.0,,,,,,,,,,,,
Cdk15,0.073,1.0,0.009,0.721,0.95,0.286,0.285,1.0,0.059,0.619,0.955,0.081,,0.624,0.211,0.975,0.029,0.524,0.097,0.226,0.951,0.317
Gm44059,,,,,,,,,,,,,,,,,,,,,,
Fgf22,,,,,,,,,,1.0,,,,,,,,,,,,
C87414,,,,,,,,,,1.0,,,,,,,,,,,,
Mxra7,0.413,1.0,0.722,0.997,0.943,0.676,0.722,1.0,0.978,1.0,0.992,0.744,,0.502,0.804,,0.657,0.979,0.905,0.692,,0.423
Ccdc124,0.0,1.0,0.186,0.0,0.891,0.0,0.005,1.0,0.0,0.001,0.946,0.0,0.037,0.001,0.0,0.84,0.722,0.0,0.0,0.0,0.771,0.0
Gm4565,,,,,,,,,,0.972,,,,,,,,,,,,
Phka1,0.771,,0.496,0.715,,0.983,,,0.354,0.96,,0.828,,0.993,0.755,,0.786,0.981,0.217,0.713,,0.654
Trav12n-1,0.004,1.0,0.043,0.922,0.943,0.428,0.187,0.494,0.028,0.935,0.914,0.161,,0.288,0.053,0.244,0.038,0.735,0.911,0.524,0.648,0.861
Gm11969,0.759,1.0,0.344,0.563,0.95,0.447,0.713,0.907,0.33,1.0,0.929,0.062,,0.619,0.031,0.672,0.419,0.245,0.014,0.242,0.906,0.414
Prl8a6,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28388,,,,,,,,,,,,,,,,,,,,,,
Gm8957,,,,,,,,,,1.0,,,,,,,,,,,,
Gm10731,,,,,,,,,,1.0,,,,,,,,,,,,
Gm9847,,,,,,,,,,1.0,,,,,,,,,,,,
Nlrp10,0.939,,0.572,0.841,,0.46,,,0.159,1.0,,0.546,,0.607,0.259,,0.177,0.374,0.09,0.437,,0.643
Zcwpw1,0.0,1.0,0.0,0.041,0.401,0.035,0.003,0.71,0.003,0.002,0.898,0.001,0.997,0.016,0.012,0.157,0.0,0.0,0.0,0.0,0.662,0.0
Gm21614,,,,,,,,,,1.0,,,,,,,,,,,,
Plpp4,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28253,,,,,,,,,,1.0,,,,,,,,,,,,
Ptbp1,0.001,1.0,0.0,0.139,0.926,0.329,0.095,1.0,0.235,0.044,0.908,0.077,0.753,0.637,0.943,0.497,0.0,0.676,0.561,0.354,0.759,0.095
Gm5174,,,,,,,,,,1.0,,,,,,,,,,,,
Mdfic,0.0,0.619,0.0,0.0,0.908,0.0,0.0,1.0,0.0,0.0,0.996,0.0,0.716,0.0,0.0,0.927,0.0,0.0,0.0,0.0,0.975,0.0
Gm5862,,,,,,,,,,0.826,,,,,,,,,,,,
Gm14180,,,,,,,,,,1.0,,,,,,,,,,,,
Gm10254,,,,,,,,,,1.0,,,,,,,,,,,,
Ppp1r3e,0.819,1.0,0.734,0.003,0.091,0.001,0.001,0.105,0.001,0.229,0.697,0.088,,0.078,0.052,0.652,0.943,0.924,0.696,0.844,0.858,0.556
Ankub1,0.933,1.0,0.661,0.968,0.961,0.687,0.377,1.0,0.169,0.585,0.886,0.141,,0.209,0.078,0.714,0.186,0.484,0.539,0.571,0.998,0.56
Gm9059,,,,,,,,,,,,,,,,,,,,,,
Gm2221,,,,,,,,,,1.0,,,,,,,,,,,,
Eif3b,0.0,1.0,0.0,0.992,0.841,0.932,0.085,1.0,0.095,1.0,0.967,0.741,0.966,0.208,0.226,0.997,0.0,0.488,0.3,0.994,0.308,0.215
Tlnrd1,0.205,1.0,0.006,0.0,0.967,0.0,0.083,1.0,0.001,0.087,0.996,0.0,0.334,0.038,0.0,0.74,0.014,0.0,0.001,0.0,0.607,0.0
Dis3l,0.26,0.84,0.026,0.742,0.866,0.648,0.767,0.981,0.206,1.0,0.825,0.354,0.492,0.189,0.683,0.999,0.0,0.841,0.835,0.958,0.869,0.669
Zfp820,0.015,1.0,0.006,0.553,0.834,0.709,0.062,0.681,0.097,0.844,0.756,0.628,,0.689,0.834,0.82,0.0,0.193,0.957,0.531,0.953,0.649
AU021092,,,,,,,,,,1.0,,,,,,,,,,,,
