ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1709,0.2644,0.3127,0.2771,0.2705,0.2414,0.1659,0.1853,0.355,0.1885,0.3394,0.2167,0.3947,0.1835,0.1718,0.1718,0.2583,0.2197,0.1429,0.293,0.2661,0.2771,0.1799,0.2198,0.2138,0.1631,0.2408,0.2136,0.2546,0.264,0.2444
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0226,0.0488,0.0353,0.0329,0.0536,0.0125,0.0162,0.024,0.0553,0.022,0.0367,0.0424,0.0,0.0263,0.0219,0.0219,0.0301,0.025,0.0,0.0391,0.0388,0.0375,0.0229,0.0299,0.0282,0.0258,0.0427,0.0231,0.0389,0.032,0.0444
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.3313,0.5481,0.5615,0.5364,0.4965,0.5481,0.3462,0.3658,0.5671,0.371,0.6748,0.4891,0.6818,0.4062,0.3349,0.3349,0.4574,0.4361,0.5,0.6642,0.4587,0.4916,0.3503,0.4286,0.4141,0.3492,0.4055,0.4544,0.523,0.6545,0.5957
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2766,0.4545,0.4843,0.4229,0.3624,0.3529,0.2755,0.3137,0.4987,0.3167,0.525,0.3485,0.6905,0.3037,0.2806,0.2806,0.3851,0.3914,0.3472,0.5836,0.3388,0.3529,0.2994,0.3718,0.3621,0.3066,0.3665,0.3796,0.4354,0.5074,0.38
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.2301,0.3992,0.3322,0.3497,0.3445,0.3372,0.2025,0.2472,0.4204,0.2862,0.5135,0.3852,0.475,0.2805,0.2307,0.2307,0.2981,0.2598,0.3158,0.5116,0.3105,0.3503,0.2411,0.4005,0.2696,0.2422,0.2606,0.294,0.3547,0.4784,0.4565
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.2048,0.3313,0.3027,0.3333,0.2586,0.3537,0.2354,0.2144,0.3663,0.2305,0.4545,0.3445,0.4872,0.2654,0.2037,0.2037,0.2777,0.2329,0.3148,0.4225,0.3062,0.3393,0.2118,0.2741,0.231,0.2059,0.2246,0.246,0.2891,0.384,0.4
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.2303,0.3951,0.4042,0.3532,0.3311,0.36,0.2568,0.2693,0.3524,0.2821,0.4065,0.306,0.3902,0.2752,0.2348,0.2348,0.2875,0.3153,0.2192,0.4327,0.2952,0.306,0.2536,0.3148,0.2905,0.2671,0.2299,0.3653,0.368,0.3818,0.3469
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1009,0.164,0.1765,0.224,0.1681,0.1875,0.103,0.1075,0.1869,0.1076,0.2342,0.1765,0.2703,0.1451,0.1013,0.1013,0.1406,0.1199,0.1852,0.1984,0.1932,0.2393,0.1046,0.1147,0.1367,0.0924,0.1313,0.1149,0.1448,0.2191,0.1957
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.3497,0.5853,0.5733,0.5551,0.549,0.5926,0.3571,0.3807,0.5928,0.3797,0.6794,0.5035,0.7333,0.446,0.3538,0.3538,0.5135,0.4568,0.5476,0.7509,0.4747,0.5382,0.3699,0.4404,0.4129,0.3719,0.4409,0.47,0.5597,0.7163,0.68
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.3329,0.5087,0.5468,0.4812,0.4898,0.5243,0.3394,0.3588,0.5721,0.3377,0.5878,0.4514,0.7857,0.3554,0.3352,0.3352,0.4888,0.452,0.407,0.6469,0.3739,0.4488,0.3516,0.4173,0.3908,0.3396,0.405,0.4135,0.5048,0.6619,0.62
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.3614,0.6228,0.5707,0.5436,0.5312,0.5893,0.352,0.3865,0.5946,0.3929,0.6978,0.5882,0.7727,0.4335,0.3643,0.3643,0.5112,0.451,0.5109,0.7568,0.4513,0.52,0.3776,0.459,0.4102,0.3796,0.4351,0.4653,0.5673,0.7254,0.7059
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.3565,0.7274,0.6602,0.6558,0.5656,0.6304,0.4265,0.46,0.6592,0.5157,0.8041,0.6857,0.8478,0.5556,0.3617,0.3617,0.5626,0.4968,0.6224,0.8113,0.5653,0.613,0.4178,0.6003,0.5293,0.4932,0.5016,0.6026,0.6363,0.7264,0.8077
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.2712,0.6405,0.5523,0.5691,0.4615,0.5401,0.3144,0.3535,0.5713,0.3914,0.6918,0.5511,0.7609,0.4626,0.2749,0.2749,0.4932,0.4001,0.5306,0.7533,0.4882,0.5093,0.3203,0.4993,0.4311,0.3845,0.4024,0.4924,0.5374,0.6754,0.717
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.009,0.026,0.0242,0.0264,0.0093,0.0152,0.0117,0.0116,0.0258,0.0141,0.0276,0.0241,0.0476,0.0181,0.0094,0.0094,0.0208,0.0156,0.0,0.0345,0.0156,0.0192,0.0116,0.0149,0.0193,0.011,0.0143,0.0227,0.0196,0.0342,0.0577
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2405,0.4478,0.5467,0.5176,0.3871,0.3778,0.3012,0.3368,0.5116,0.3273,0.4459,0.3314,0.7955,0.3805,0.2456,0.2456,0.3771,0.4193,0.4526,0.4881,0.4508,0.489,0.2928,0.4116,0.4357,0.3677,0.4014,0.4348,0.4617,0.4664,0.4038
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.0821,0.2051,0.2121,0.1798,0.2047,0.2015,0.0939,0.1034,0.2571,0.1119,0.2483,0.1627,0.4048,0.1126,0.083,0.083,0.1879,0.1301,0.1053,0.2509,0.1504,0.1693,0.0954,0.1445,0.1243,0.093,0.1336,0.139,0.1808,0.2061,0.2115
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0132,0.0366,0.0242,0.0226,0.0326,0.0152,0.0099,0.0133,0.0388,0.0138,0.0278,0.0303,0.0,0.016,0.0127,0.0127,0.0192,0.0155,0.0,0.0346,0.02,0.0256,0.0143,0.0206,0.0159,0.0134,0.0201,0.0133,0.026,0.0275,0.0385
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.3023,0.6073,0.6843,0.6759,0.4587,0.597,0.3791,0.4211,0.5769,0.4352,0.6507,0.494,0.7778,0.5115,0.3086,0.3086,0.4478,0.496,0.5833,0.6804,0.5881,0.6057,0.3645,0.5063,0.5146,0.4557,0.4987,0.5637,0.5985,0.6644,0.5769
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2535,0.5008,0.5576,0.4916,0.4147,0.4254,0.2876,0.3385,0.5281,0.332,0.5139,0.3473,0.7907,0.3683,0.2575,0.2575,0.3776,0.4266,0.4375,0.5828,0.4339,0.4335,0.3045,0.4155,0.4131,0.3558,0.3857,0.4802,0.4841,0.534,0.4615
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.1174,0.3163,0.2495,0.2435,0.2166,0.2632,0.1192,0.1427,0.3171,0.1747,0.3904,0.2781,0.5116,0.1747,0.1172,0.1172,0.2175,0.1582,0.1959,0.4388,0.1774,0.2476,0.1354,0.2838,0.167,0.1401,0.1537,0.2064,0.2519,0.4122,0.4231
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.0774,0.2496,0.1949,0.2183,0.1521,0.2331,0.1029,0.0978,0.2593,0.1137,0.3448,0.247,0.4884,0.1426,0.0784,0.0784,0.186,0.1161,0.1667,0.3699,0.1463,0.1994,0.09,0.1494,0.1149,0.0942,0.1146,0.1345,0.1933,0.3208,0.3462
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.2503,0.4644,0.5022,0.453,0.412,0.4318,0.3566,0.3596,0.4103,0.3757,0.4345,0.3373,0.5,0.4131,0.2579,0.2579,0.3098,0.3975,0.3542,0.4724,0.4393,0.4601,0.3053,0.4637,0.445,0.3959,0.322,0.5297,0.4338,0.4369,0.4038
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0403,0.1267,0.1108,0.1391,0.0977,0.1212,0.0449,0.0505,0.1376,0.054,0.1944,0.1333,0.2619,0.0679,0.0407,0.0407,0.0949,0.0604,0.1053,0.1799,0.0911,0.1374,0.0456,0.0682,0.069,0.0441,0.0713,0.0609,0.0987,0.1924,0.1923
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.3355,0.7166,0.7094,0.6847,0.5291,0.6304,0.4087,0.4748,0.6404,0.4823,0.7114,0.5503,0.8261,0.5789,0.3423,0.3423,0.5205,0.5582,0.7273,0.7793,0.6432,0.6625,0.4094,0.543,0.5488,0.5435,0.5567,0.662,0.6949,0.7157,0.75
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.3467,0.6617,0.6996,0.6489,0.4682,0.5441,0.437,0.4868,0.6297,0.4701,0.6419,0.5238,0.8409,0.5668,0.3531,0.3531,0.53,0.6057,0.6531,0.7143,0.5745,0.6415,0.4234,0.5529,0.5609,0.5442,0.5585,0.6484,0.67,0.6823,0.6923
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.3957,0.7725,0.7809,0.7806,0.565,0.6739,0.5135,0.5585,0.7053,0.5826,0.8067,0.686,0.8261,0.6585,0.4034,0.4034,0.5835,0.6382,0.8182,0.8384,0.7308,0.76,0.4811,0.6218,0.6451,0.6474,0.6842,0.716,0.7702,0.7915,0.8077
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.0548,0.0807,0.1337,0.1662,0.1742,0.1398,0.0679,0.057,0.1243,0.0418,0.1463,0.0538,0.186,0.0679,0.0551,0.0551,0.1055,0.085,0.0781,0.1279,0.115,0.1627,0.055,0.0577,0.0878,0.0405,0.097,0.0504,0.0925,0.1423,0.0952
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.0692,0.0882,0.1542,0.1672,0.2,0.1646,0.0877,0.0704,0.1412,0.0535,0.1748,0.0648,0.2051,0.0769,0.0695,0.0695,0.117,0.0997,0.0909,0.1392,0.127,0.1751,0.0686,0.0678,0.0974,0.0492,0.1099,0.0596,0.1069,0.1545,0.1026
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0279,0.0161,0.0422,0.0526,0.0,0.0,0.0175,0.0298,0.0439,0.0327,0.0455,0.0,0.1111,0.0172,0.0293,0.0293,0.0348,0.036,0.0,0.0476,0.0222,0.0256,0.0341,0.025,0.0379,0.0272,0.0446,0.049,0.0476,0.0465,0.0
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.0706,0.1074,0.1368,0.1767,0.1957,0.1356,0.0885,0.0672,0.1415,0.0536,0.1429,0.0635,0.2162,0.0769,0.0707,0.0707,0.1399,0.0918,0.1163,0.1465,0.115,0.1412,0.0681,0.0787,0.0904,0.0473,0.1067,0.0652,0.1106,0.1538,0.1364
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.0926,0.1377,0.1662,0.2222,0.2143,0.1053,0.0986,0.0967,0.1506,0.0897,0.2222,0.0938,0.25,0.1278,0.0923,0.0923,0.1442,0.1237,0.1538,0.1868,0.2247,0.2055,0.0916,0.112,0.1349,0.0811,0.1076,0.0814,0.1425,0.2048,0.25
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0609,0.0294,0.0613,0.04,0.1071,0.0,0.1,0.0532,0.0656,0.0616,0.0,0.0,0.0,0.0364,0.0533,0.0533,0.0636,0.0656,0.0,0.0238,0.0444,0.05,0.0522,0.0732,0.0484,0.0412,0.0407,0.0349,0.071,0.0244,0.0
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.0762,0.1098,0.1452,0.1765,0.233,0.1585,0.0962,0.0724,0.1682,0.0562,0.1856,0.0814,0.2105,0.083,0.0759,0.0759,0.1516,0.0955,0.0877,0.165,0.1355,0.1726,0.0721,0.0782,0.106,0.0498,0.1152,0.0605,0.1099,0.1659,0.1333
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.0675,0.0966,0.1409,0.1831,0.1837,0.125,0.0798,0.0676,0.1453,0.0587,0.1948,0.0635,0.1944,0.0732,0.0669,0.0669,0.1398,0.0917,0.0909,0.1534,0.1163,0.1513,0.0654,0.0747,0.0997,0.0453,0.098,0.0585,0.1054,0.1758,0.12
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.0868,0.098,0.1553,0.1792,0.2373,0.1395,0.1105,0.0901,0.1461,0.0724,0.2222,0.1154,0.1923,0.1061,0.0868,0.0868,0.1445,0.107,0.1818,0.1678,0.1538,0.1856,0.0846,0.0876,0.1102,0.0775,0.1262,0.0887,0.1274,0.1926,0.1304
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1508,0.2123,0.2425,0.2617,0.2553,0.2857,0.1773,0.1573,0.2446,0.1292,0.2778,0.1395,0.25,0.1783,0.1543,0.1543,0.2296,0.1858,0.2222,0.2632,0.2184,0.2317,0.1494,0.1457,0.2008,0.137,0.2489,0.147,0.2225,0.3,0.2222
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0415,0.0716,0.0939,0.12,0.0962,0.0448,0.0518,0.0408,0.1244,0.0329,0.0933,0.0492,0.1154,0.038,0.0413,0.0413,0.0867,0.0647,0.0526,0.1032,0.057,0.0915,0.0423,0.0474,0.0588,0.0293,0.0502,0.0359,0.0754,0.1007,0.0417
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.2287,0.29,0.3094,0.3558,0.3636,0.45,0.2933,0.2368,0.2874,0.2305,0.3529,0.2083,0.1875,0.25,0.2321,0.2321,0.2909,0.2451,0.5,0.3934,0.3559,0.322,0.2268,0.2581,0.3103,0.2367,0.3529,0.2431,0.2763,0.4516,0.4
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0626,0.0895,0.1331,0.1605,0.1905,0.1398,0.0769,0.0593,0.14,0.047,0.1622,0.0722,0.1905,0.0711,0.0626,0.0626,0.1198,0.079,0.0658,0.1358,0.1153,0.1511,0.0592,0.0669,0.0927,0.0387,0.0956,0.051,0.0906,0.1453,0.1026
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0521,0.0812,0.1169,0.1429,0.1579,0.0833,0.063,0.051,0.1252,0.0415,0.1359,0.0316,0.175,0.0549,0.0523,0.0523,0.1065,0.0698,0.0746,0.1376,0.089,0.1142,0.0515,0.0576,0.0771,0.035,0.082,0.0459,0.0838,0.1284,0.1111
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0546,0.0824,0.1226,0.1413,0.1618,0.12,0.0647,0.0518,0.1252,0.0393,0.1417,0.056,0.1905,0.0604,0.0546,0.0546,0.1077,0.07,0.0588,0.1284,0.1022,0.1264,0.0515,0.0592,0.0811,0.0338,0.0778,0.0473,0.0814,0.1313,0.0952
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.4001,0.5806,0.6275,0.6099,0.5302,0.5225,0.3659,0.4304,0.5944,0.4151,0.7015,0.55,0.8182,0.4601,0.4043,0.4043,0.5053,0.4952,0.5,0.657,0.5136,0.5318,0.4174,0.4811,0.4779,0.4206,0.4674,0.509,0.573,0.6704,0.6809
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.3936,0.5989,0.5896,0.5963,0.5299,0.5657,0.3744,0.4132,0.5797,0.4022,0.719,0.5476,0.8537,0.448,0.3984,0.3984,0.5017,0.4744,0.481,0.6528,0.519,0.5391,0.4047,0.4893,0.4529,0.4032,0.4323,0.4909,0.5541,0.6745,0.617
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0195,0.0321,0.0293,0.0356,0.0102,0.0263,0.0215,0.0187,0.0301,0.0226,0.0476,0.0455,0.0541,0.0282,0.0204,0.0204,0.0226,0.0235,0.0,0.0392,0.0254,0.0249,0.0213,0.0278,0.0296,0.0159,0.0237,0.0305,0.0237,0.0381,0.0811
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.4513,0.5431,0.6065,0.5763,0.5378,0.4773,0.4212,0.4642,0.5637,0.4339,0.4706,0.47,0.8049,0.4572,0.4528,0.4528,0.5341,0.5326,0.5672,0.5536,0.4685,0.5385,0.464,0.5147,0.5296,0.4518,0.4571,0.5147,0.5246,0.5415,0.45
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1522,0.25,0.2433,0.2216,0.2703,0.2651,0.1263,0.1525,0.3068,0.1624,0.2793,0.1856,0.4595,0.1437,0.1512,0.1512,0.2601,0.1812,0.125,0.2958,0.1972,0.239,0.1537,0.1903,0.1578,0.1338,0.1829,0.1711,0.2289,0.2581,0.1707
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0226,0.0442,0.0349,0.033,0.0612,0.013,0.0119,0.022,0.0496,0.0213,0.0381,0.0337,0.0,0.0261,0.0224,0.0224,0.0276,0.023,0.0,0.0394,0.029,0.0348,0.0211,0.0321,0.0242,0.0234,0.0297,0.0213,0.036,0.0238,0.0263
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.5759,0.7125,0.7327,0.7365,0.7094,0.6809,0.558,0.5923,0.7222,0.5521,0.7414,0.6635,0.9231,0.6104,0.5782,0.5782,0.6607,0.6402,0.6301,0.7435,0.6677,0.7186,0.5817,0.6082,0.6415,0.5657,0.6114,0.6466,0.6772,0.7607,0.675
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.3909,0.531,0.5893,0.524,0.5,0.4062,0.3447,0.4219,0.5758,0.3853,0.5841,0.47,0.8,0.3816,0.3956,0.3956,0.4721,0.4903,0.3816,0.6272,0.4367,0.4511,0.4068,0.4585,0.4559,0.4077,0.4271,0.4874,0.5222,0.6026,0.4878
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2017_PNAS_Li___STAT5B_IL2-CD8,0.1889,0.3391,0.2798,0.2938,0.3519,0.3827,0.1567,0.1877,0.3631,0.2082,0.4261,0.3398,0.5385,0.1828,0.1882,0.1882,0.2759,0.2048,0.2576,0.4378,0.2061,0.2949,0.1888,0.2822,0.1947,0.1794,0.2094,0.2323,0.2857,0.4585,0.3409
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1858,0.3149,0.2643,0.2995,0.2941,0.3846,0.2045,0.1758,0.3597,0.1921,0.3929,0.29,0.5526,0.227,0.1852,0.1852,0.3031,0.193,0.2154,0.4378,0.2206,0.3024,0.1814,0.2286,0.1917,0.1507,0.1852,0.2065,0.2568,0.3773,0.4103
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.3238,0.4167,0.4709,0.4192,0.3357,0.4,0.2726,0.3462,0.4039,0.315,0.4322,0.3458,0.4872,0.3502,0.3292,0.3292,0.3193,0.4135,0.3108,0.3951,0.3657,0.38,0.3419,0.385,0.3894,0.3402,0.3048,0.4333,0.4119,0.41,0.381
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1151,0.1892,0.1609,0.2027,0.2165,0.1948,0.1172,0.1084,0.2074,0.1105,0.2547,0.1978,0.2973,0.129,0.1147,0.1147,0.1761,0.1143,0.1613,0.2525,0.1444,0.2139,0.1098,0.1198,0.1257,0.0891,0.1318,0.1122,0.1468,0.2524,0.2703
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.5282,0.6691,0.708,0.6879,0.6159,0.625,0.4425,0.5307,0.6787,0.4881,0.7008,0.6,0.8372,0.5689,0.5288,0.5288,0.622,0.5974,0.6627,0.7011,0.6301,0.6732,0.5335,0.5841,0.5827,0.5079,0.5604,0.5971,0.6504,0.75,0.7273
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.4749,0.5798,0.6378,0.587,0.4855,0.4667,0.3985,0.4907,0.6043,0.434,0.619,0.5214,0.7674,0.4507,0.476,0.476,0.5569,0.5705,0.5357,0.6314,0.5123,0.5589,0.4869,0.5205,0.5255,0.4736,0.5065,0.5404,0.5941,0.6627,0.6591
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.5445,0.6773,0.7089,0.7039,0.6268,0.6204,0.4781,0.5503,0.6863,0.5117,0.7576,0.6562,0.8372,0.5634,0.5455,0.5455,0.6233,0.6191,0.6705,0.7348,0.6519,0.6912,0.5505,0.5809,0.6068,0.5228,0.5666,0.5945,0.6541,0.7453,0.7174
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0202,0.032,0.0313,0.0339,0.0153,0.0215,0.0203,0.0203,0.0331,0.0225,0.0407,0.0385,0.0465,0.022,0.0211,0.0211,0.0304,0.0258,0.0,0.0426,0.0247,0.019,0.022,0.0225,0.0288,0.0172,0.023,0.0325,0.028,0.046,0.0714
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.3544,0.4429,0.5666,0.5158,0.5282,0.4554,0.3216,0.383,0.5436,0.3545,0.4403,0.3869,0.8605,0.3766,0.3575,0.3575,0.4199,0.4699,0.4267,0.4835,0.4631,0.5248,0.3736,0.431,0.4584,0.3715,0.4206,0.452,0.4631,0.4528,0.4651
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1723,0.2542,0.2797,0.2327,0.2868,0.2708,0.1628,0.1742,0.3324,0.1697,0.2903,0.2061,0.3953,0.1583,0.1724,0.1724,0.2631,0.2112,0.1385,0.2857,0.2131,0.229,0.1746,0.1975,0.1809,0.1457,0.2133,0.1874,0.2434,0.2708,0.2619
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0302,0.0471,0.0335,0.0286,0.0455,0.0106,0.0186,0.0242,0.0504,0.0221,0.0325,0.0385,0.0,0.0203,0.0288,0.0288,0.028,0.0291,0.0,0.0388,0.0175,0.0333,0.0285,0.03,0.0239,0.0223,0.0392,0.018,0.037,0.0335,0.0476
